,comuna1,comuna,Ubar,Abar,L,w_mean
0,1101,IQUIQUE,0.005626839697422233,0.0037103347680268375,200897,5982956.64
1,1107,ALTO HOSPICIO,0.004698330822055046,0.002996109563788392,124872,4861468.5600000005
2,1401,POZO ALMONTE,0.0013633012748697892,0.0039720743809027416,14361,5766525.0
3,1402,CAMINA,0.0002627408792859853,0.001990820940198132,1277,3294663.7199999997
4,1404,HUARA,0.0005801399445171209,0.0025190521634592725,2966,3724312.56
5,1405,PICA,0.0008301054390942801,0.003885662644224778,6650,5463336.36
6,2101,ANTOFAGASTA,0.006687901918616584,0.004775354603690454,389812,7926654.0
7,2103,SIERRA GORDA,0.00041905193218479814,0.004152335899092723,3205,5594223.72
8,2104,TALTAL,0.0019971464366136758,0.0038147239424163363,13296,5551316.28
9,2201,CALAMA,0.006472322753888525,0.004497696635761978,181897,7278192.720000001
10,2203,SAN PEDRO DE ATACAMA,0.0011602812892413331,0.0038687923170290456,7840,5498250.0
11,2301,TOCOPILLA,0.002482830000192314,0.003689742194438762,27996,5553338.64
12,2302,MARIA ELENA,0.0007516343579278079,0.0045031461056424665,4840,6229656.0
13,3101,COPIAPO,0.0062073611342633415,0.0042782753339072185,178788,6952598.279999999
14,3102,CALDERA,0.00242424655272213,0.003369819677829383,18101,4949001.0
15,3103,TIERRA AMARILLA,0.001627953972171089,0.00334534867706838,17857,4873546.5600000005
16,3201,CHANARAL,0.0018775954269713876,0.0034100308382657585,13660,4968844.92
17,3202,DIEGO DE ALMAGRO,0.0018794341790266279,0.005050766623753055,14656,7231266.720000001
18,3301,VALLENAR,0.0038637937581692426,0.003598674720268318,53550,5576838.0
19,3302,ALTO DEL CARMEN,0.0011663097591097646,0.0028330789803453016,6519,4113549.7199999997
20,3304,HUASCO,0.0014218375839022503,0.0036741635861039204,10595,5280609.36
21,4101,LA SERENA,0.007816242982505337,0.004126964927199443,225178,6726471.0
22,4102,COQUIMBO,0.007769982449168104,0.0027894499439285896,242096,4630233.72
23,4103,ANDACOLLO,0.001771231735436678,0.0030505185281360435,11555,4444008.36
24,4104,LA HIGUERA,0.0009774415755806063,0.0025547855834330427,4727,3645497.6399999997
25,4106,VICUNA,0.002809488891135304,0.0027275621638023656,26874,4143605.6399999997
26,4201,ILLAPEL,0.0030612977150683562,0.0030349414872350017,32931,4633434.72
27,4202,CANELA,0.0016564425895026589,0.002075762910139749,9911,3090075.0
28,4203,LOS VILOS,0.0028491065117369797,0.0027420502686253006,20391,4084863.7199999997
29,4204,SALAMANCA,0.002829404824033892,0.0034486004790281756,27511,5161449.0
30,4301,OVALLE,0.005363532233784848,0.0030934111783218845,123239,5000365.5600000005
31,4302,COMBARBALA,0.0018947136846877582,0.002384596813771162,15453,3607514.6399999997
32,4303,MONTE PATRIA,0.0026886450130900125,0.0024919116418635084,34072,3865836.3600000003
33,4304,PUNITAQUI,0.001552637135242074,0.002602258233309385,10923,3861424.92
34,4305,RIO HURTADO,0.0009518390561316485,0.0022913591560049127,4992,3365167.92
35,5101,VALPARAISO,0.009147806905640422,0.003035324722492499,295927,5041031.28
36,5102,CASABLANCA,0.0028246543074595103,0.0029789046072269004,29826,4420343.64
37,5103,CONCON,0.003861741982952419,0.004830518495954758,51533,7202297.279999999
38,5105,PUCHUNCAVI,0.0029241629353057483,0.0025734750820610957,18484,3656668.08
39,5107,QUINTERO,0.0034167664252737337,0.003392233981832001,28581,5033797.92
40,5109,VINA DEL MAR,0.007445751860015916,0.004536910167851506,326760,7476031.5600000005
41,5301,LOS ANDES,0.004666531167144718,0.003854200433241858,68734,6009853.92
42,5302,CALLE LARGA,0.002300427803174439,0.0026964228450574823,15021,3967180.08
43,5303,RINCONADA,0.002028615310999828,0.0032220170779149477,11028,4669836.0
44,5304,SAN ESTEBAN,0.002758339029099759,0.002797014212313681,19043,4170485.6399999997
45,5401,LA LIGUA,0.0034010274353503873,0.0031341995108297347,33884,4770756.72
46,5402,CABILDO,0.0018777582978633752,0.006597073649918037,20135,9730553.28
47,5403,PAPUDO,0.001103044865515641,0.0038154684120120597,5340,5161769.28
48,5404,PETORCA,0.001603214968700486,0.0030791452861551063,10384,4502093.28
49,5501,QUILLOTA,0.005248688371191533,0.0031038650598356515,95852,4953916.08
50,5502,LA CALERA,0.004199470806526464,0.00288195754695101,55555,4489057.08
51,5503,HIJUELAS,0.0025709444872047647,0.0028527966891627606,18212,4217506.92
52,5504,LA CRUZ,0.0028304636817397745,0.0029825651225636567,20189,4439320.5600000005
53,5506,NOGALES,0.0032017145165915252,0.0024267227629949963,23925,3659704.92
54,5601,SAN ANTONIO,0.006054081488894789,0.0026708973141485624,97481,4211431.5600000005
55,5602,ALGARROBO,0.0014077619889522027,0.005546370445087884,10700,7446391.5600000005
56,5603,CARTAGENA,0.002869477276196385,0.002627398351621646,20563,3952836.3600000003
57,5604,EL QUISCO,0.0025053341363581237,0.0026622950646175573,13641,3905401.92
58,5605,EL TABO,0.00178115670578513,0.003699568365201001,10592,5389774.5600000005
59,5606,SANTO DOMINGO,0.0007508845180286878,0.004722571950923168,9552,6358771.5600000005
60,5701,SAN FELIPE,0.0045118043838377146,0.0034990146226945495,74812,5510534.28
61,5702,CATEMU,0.0022809744170485197,0.0023872646308561282,14151,3555568.08
62,5703,LLAY-LLAY,0.0029044733522640364,0.002818008674392069,24955,4259058.0
63,5704,PANQUEHUE,0.0015545424094221226,0.003314165017860779,7387,4723825.08
64,5705,PUTAENDO,0.0024382373915833744,0.002218394289006021,16533,3348637.08
65,5706,SANTA MARIA,0.002202845256792997,0.0027224699705873704,16005,4060388.2800000003
66,5801,QUILPUE,0.006534056411137395,0.003941155355088539,173617,6442086.0
67,5802,LIMACHE,0.004367935691797798,0.002817384919861178,46022,4345213.08
68,5803,OLMUE,0.0028963373138291117,0.003181081360993535,16162,4620627.72
69,5804,VILLA ALEMANA,0.005908598619436923,0.0036126402971209865,145139,5886712.08
70,6101,RANCAGUA,0.007567465723740431,0.003258549225686572,234724,5375022.72
71,6102,CODEGUA,0.002224132824783537,0.0031815197324913704,14588,4669010.28
72,6103,COINCO,0.0014286150500281017,0.002432114052854877,7241,3560979.7199999997
73,6104,COLTAUCO,0.002401805010014488,0.003026279482767993,20078,4550977.92
74,6105,DONIHUE,0.002589567032258503,0.003546140852043364,20677,5257847.28
75,6106,GRANEROS,0.003525119433522326,0.003015941267702088,34677,4600607.64
76,6107,LAS CABRAS,0.002625894683940205,0.002703342728039185,24295,3798228.0
77,6108,MACHALI,0.0047506813125048515,0.005215605525140724,54519,7927066.5600000005
78,6109,MALLOA,0.0021726123598091326,0.002867992867373047,13937,4230238.08
79,6110,SAN FRANCISCO DE MOSTAZAL,0.0033953563428558552,0.003085724280097796,26931,4589728.92
80,6111,OLIVAR,0.0023699580810123805,0.00316742740287584,15489,4642104.72
81,6112,PEUMO,0.0023393572742785276,0.0026956440393436417,16273,4005271.56
82,6113,PICHIDEGUA,0.002647095907338687,0.0024545858736329325,20400,3694692.0
83,6114,QUINTA DE TILCOCO,0.0018739602770394765,0.003458700907353969,13408,5075733.72
84,6115,RENGO,0.004547132523514141,0.002721923661562467,62284,4271317.08
85,6116,REQUINOA,0.003894172942418732,0.003135144720111746,34479,4727590.5600000005
86,6117,SAN VICENTE,0.00410556171841351,0.0033055977542776234,47613,5086752.36
87,6201,PICHILEMU,0.002459413492591988,0.0036968588240791356,14587,5370687.36
88,6202,LA ESTRELLA,0.0007626408868088179,0.0027680975788746307,3333,3908495.6399999997
89,6203,LITUECHE,0.0015061540110028755,0.002859533970819977,6385,4056987.0
90,6204,MARCHIGUE,0.0015537584522804454,0.0028419271274324723,7637,4020946.08
91,6205,NAVIDAD,0.0013276999393064678,0.0025419424665071673,5994,3703808.2800000003
92,6206,PAREDONES,0.0013250273859005844,0.00254412082697055,6331,3716661.7199999997
93,6301,SAN FERNANDO,0.005346766529862874,0.0028212928859654785,74435,4406989.92
94,6302,CHEPICA,0.002318615429244935,0.0025059288104111806,16278,3761164.92
95,6303,CHIMBARONGO,0.003722685310457303,0.002355659288025481,37876,3637051.08
96,6304,LOLOL,0.0014632350513574645,0.0025213976483567445,7053,3653770.08
97,6305,NANCAGUA,0.0019284390721750872,0.002864189090189929,17147,4217168.28
98,6306,PALMILLA,0.0022653977252233316,0.0023807669696638083,13468,3475219.08
99,6307,PERALILLO,0.0019477773824071712,0.0029707539036191066,11742,4336578.36
100,6308,PLACILLA,0.0017259317986300278,0.0027784471300333923,9312,4053704.2800000003
101,6309,PUMANQUE,0.0007049270950406871,0.003987499033949094,3452,5554974.0
102,6310,SANTA CRUZ,0.003960424943835561,0.0034270324113390076,38028,5202788.28
103,7101,TALCA,0.007556315228228247,0.0035890845311394148,236037,5932584.36
104,7102,CONSTITUCION,0.004117800576680109,0.0034807874617147497,51031,5355988.08
105,7103,CUREPTO,0.0017974722013704512,0.0023902115962033095,10732,3536633.2800000003
106,7104,EMPEDRADO,0.0009976495741659092,0.0025429620717903703,4476,3720633.0
107,7105,MAULE,0.004243937805203681,0.002104279310410039,57427,3333123.3600000003
108,7107,PENCAHUE,0.0016555036705579017,0.002723508245540766,8834,3929966.2800000003
109,7108,RIO CLARO,0.0020206007484671828,0.002403494436619371,13497,3541372.08
110,7109,SAN CLEMENTE,0.0039530078366394475,0.0019515315621386998,41916,3043861.92
111,7110,SAN RAFAEL,0.001642129306647074,0.002985790596668385,10045,4351255.5600000005
112,7201,CAUQUENES,0.0035136270675434865,0.002859169467393562,40135,4429096.92
113,7202,CHANCO,0.0016570203908117204,0.00248829702308844,8958,3665946.3600000003
114,7203,PELLUHUE,0.0018163398513654431,0.002421923820597802,7745,3520356.0
115,7301,CURICO,0.00615050179375908,0.0032023005471538,146612,5185345.5600000005
116,7302,HUALANE,0.0016201588217548987,0.003431481490658486,10204,4999297.08
117,7303,LICANTEN,0.0015493620970308533,0.0032651397705167422,7249,4653419.64
118,7304,MOLINA,0.0036904574419087924,0.0028495678486543104,42531,4394614.08
119,7305,RAUCO,0.0017829058577522058,0.0024278402135555,10182,3535678.92
120,7306,ROMERAL,0.0025247241545630983,0.0027906055020895056,15351,4049330.2800000003
121,7307,SAGRADA FAMILIA,0.0025991026719154363,0.0027746833958633707,19655,4106587.56
122,7308,TENO,0.0033194742960546285,0.0028498726955062934,28661,4300191.72
123,7309,VICHUQUEN,0.001048629617730543,0.003785874984876577,5118,5153789.28
124,7401,LINARES,0.005529834825108777,0.002688351137924746,91303,4283305.92
125,7402,COLBUN,0.0026193692900761366,0.0025944824710289614,19530,3878446.08
126,7403,LONGAVI,0.0032767381893947013,0.0019113443739440482,29420,2954538.96
127,7404,PARRAL,0.003754489613187307,0.0026198988152754447,38403,4030425.0
128,7405,RETIRO,0.002479544707038697,0.0023036686901939676,19688,3480187.92
129,7406,SAN JAVIER,0.0034768666709828876,0.0029734636621998878,41181,4591944.0
130,7407,VILLA ALEGRE,0.0022231460476863276,0.002546268674902419,15274,3817632.7199999997
131,7408,YERBAS BUENAS,0.0024613518979132217,0.002556193385082065,18383,3809790.7199999997
132,8101,CONCEPCION,0.007268504584102192,0.0036696076580057615,229160,5931707.64
133,8102,CORONEL,0.005267442054708308,0.002910825967329179,117423,4685048.64
134,8103,CHIGUAYANTE,0.00570985388673596,0.0036500769250359865,101243,5801754.0
135,8104,FLORIDA,0.001592593157492136,0.0023648382422865937,8742,3487145.2800000003
136,8105,HUALQUI,0.002924767797527558,0.002260677679343023,26243,3455728.56
137,8106,LOTA,0.0033686632109456425,0.0026651706416587037,47235,4164718.56
138,8107,PENCO,0.004470720612530479,0.002539882973586242,52098,3940413.0
139,8108,SAN PEDRO DE LA PAZ,0.005935084698285046,0.005035936479654008,139570,8072383.5600000005
140,8109,SANTA JUANA,0.002021597545545912,0.0029771219979842158,13740,4415076.0
141,8110,TALCAHUANO,0.006704177713903811,0.0036491668798802833,178890,5869382.64
142,8111,TOME,0.004439113914236546,0.002756624153902381,55814,4305153.0
143,8201,LEBU,0.0028194921282264414,0.003204074243007899,26670,4864024.08
144,8202,ARAUCO,0.0029791915679232128,0.004009613938921341,38431,6122729.28
145,8203,CANETE,0.0033160243511752446,0.0026645155226839566,34277,4090152.3600000003
146,8204,CONTULMO,0.0011432112062774837,0.0024795622823796442,5500,3644953.92
147,8205,CURANILAHUE,0.0027610251917962437,0.003031436712439461,35047,4657649.28
148,8206,LOS ALAMOS,0.00241201369860834,0.0027360792432452423,24253,4151778.7199999997
149,8207,TIRUA,0.0015370713820126718,0.0024435542602456685,10495,3633283.08
150,8301,LOS ANGELES,0.0067476125514225275,0.003282792360508268,197987,5398023.72
151,8302,ANTUCO,0.000877342615770318,0.003169740907249193,3906,4502214.72
152,8303,CABRERO,0.0031775668359811755,0.0028996370807256324,29563,4382408.28
153,8304,LAJA,0.0029235542791155797,0.002666369247734358,24083,4026212.2800000003
154,8305,MULCHEN,0.003222983176980263,0.0024656953871337035,30465,3779716.56
155,8306,NACIMIENTO,0.002955009382840676,0.003417292374298434,28542,5138488.5600000005
156,8307,NEGRETE,0.0017280378162711247,0.002527798235688875,10450,3691677.0
157,8308,QUILACO,0.0008816639929249209,0.0028696671968464296,4080,4164674.6399999997
158,8309,QUILLECO,0.0015885036458858641,0.0028165877620484397,9889,4138011.0
159,8310,SAN ROSENDO,0.000795978673749736,0.0031094145396250083,3897,4518603.36
160,8311,SANTA BARBARA,0.001981608146075101,0.0026577399567845814,12825,3904081.92
161,8312,TUCAPEL,0.0021658777437090454,0.0022351310987893066,14523,3355557.7199999997
162,8313,YUMBEL,0.002595897490981087,0.0025567855556406535,21587,3859048.92
163,8401,CHILLAN,0.007027461088031548,0.00307360283457142,181008,5026575.0
164,8402,BULNES,0.0028892806658438793,0.002190451748538072,22042,3327178.08
165,8403,COBQUECURA,0.0011660570112629108,0.00235553935691755,5667,3471880.92
166,8404,COELEMU,0.0022196852110429282,0.0028883674772052993,17040,4305205.08
167,8405,COIHUECO,0.003011955778177413,0.0020801140437285183,25996,3192309.7199999997
168,8406,CHILLAN VIEJO,0.003396139783868921,0.0027084128960154405,33982,4147743.3600000003
169,8407,EL CARMEN,0.0020507031372902994,0.0019718540736290637,12806,2967443.04
170,8408,NINHUE,0.0011487383383336099,0.0018869294359687271,5801,2829167.64
171,8409,NIQUEN,0.0016955139276275625,0.002211437868849027,11609,3296691.3600000003
172,8410,PEMUCO,0.001735803060801281,0.002249838885190711,9301,3290089.92
173,8411,PINTO,0.002420489277055601,0.0024640862262644762,11437,3582579.3600000003
174,8412,PORTEZUELO,0.0012094179912062433,0.00203529984188319,5622,3030414.96
175,8413,QUILLON,0.0026466442436042037,0.00217855001493255,16976,3271171.08
176,8414,QUIRIHUE,0.0019723313651147057,0.0024525127942855722,13645,3668124.0
177,8415,RANQUIL,0.0015873683094391466,0.003030289117478307,6078,4257511.08
