,comuna1,comuna,delta1,L,w,PI,PI_Wr,f,ip,welfare
0,1101,IQUIQUE,0.0,306196.90350252966,6357074.293491795,1.3690992184189035,0.0002948956907621456,1.9453453306486796e-08,1.0932429158285576e-06,0.000617549464429092
1,1107,ALTO HOSPICIO,0.0,59340.691976726346,4757318.406440671,0.991126348447528,0.0002943849580098869,5.6649961520361667e-08,7.817091089586565e-08,0.0006175494644290959
2,1401,POZO ALMONTE,0.0,12058.907562045813,5804577.810586246,0.748577272960305,0.0002943623739021869,1.0704189280360425e-08,6.183120482247483e-08,0.0006175494644290914
3,1402,CAMINA,0.0,424.7176101601065,3025050.945631371,0.4299888572106457,0.0002888208731605498,7.626582139374964e-09,2.7882481233163846e-10,0.000617549464429093
4,1404,HUARA,0.0,1455.458382073176,3508560.3875744715,0.5645269464782066,0.00029283136722539746,8.451755167847013e-09,7.64726717604217e-09,0.0006175494644290925
5,1405,PICA,0.0,6260.443929502342,5515394.087897844,0.7842383555823116,0.0002944645344924387,8.057393969531317e-09,6.774563524552629e-08,0.0006175494644290925
6,2101,ANTOFAGASTA,0.0,684029.4152508782,8517339.38899204,1.747420329329801,0.0003100017033758894,4.187863470817561e-08,2.8459911338585935e-06,0.0006175494644290925
7,2103,SIERRA GORDA,0.0,3226.832589477353,5631710.913372956,0.8515521533901053,0.00030787329210385,7.51214539405628e-09,9.96153447863545e-08,0.0006175494644290921
8,2104,TALTAL,0.0,8495.227963334128,5499149.361039174,0.8946517444550167,0.0003191772895437316,1.1156826628654628e-08,2.4080074727373322e-08,0.0006175494644290951
9,2201,CALAMA,0.0,258132.5042403693,7649189.938137119,1.3226628688766942,0.0003023756969785959,9.080105705637755e-08,5.314021182810475e-07,0.000617549464429088
10,2203,SAN PEDRO DE ATACAMA,0.0,6087.926402266681,5474732.533600682,0.7960551229829304,0.00029969429722183637,8.949790902849747e-09,3.601063490783798e-08,0.0006175494644290921
11,2301,TOCOPILLA,0.0,18395.862919362575,5526519.233780419,0.8714427079738665,0.00030294037881840977,1.9126145407167128e-08,4.411736328255597e-08,0.0006175494644290952
12,2302,MARIA ELENA,0.0,4504.565357364648,6274589.429533776,0.8736697008532353,0.00030307357984690953,7.195969109229477e-09,5.740424934634318e-08,0.0006175494644290915
13,3101,COPIAPO,0.0,196845.07432910943,7181104.565795731,1.3509156317964035,0.0003302836630870076,8.617204179926801e-08,4.1966330045554935e-07,0.000617549464429091
14,3102,CALDERA,0.0,14319.711487837036,4968789.9780719895,0.9691362486118131,0.0003280320451601157,1.3512914313839331e-08,4.644113133523282e-08,0.0006175494644290933
15,3103,TIERRA AMARILLA,0.0,17061.040833630537,4952222.74200416,0.8694572616171616,0.00033046487566502485,1.0578468079446629e-08,1.0629658708512252e-07,0.0006175494644290922
16,3201,CHANARAL,0.0,9535.652004406387,4937756.643508676,0.8337602967673093,0.00032438927942400066,1.1724123598338404e-08,3.0842643913618375e-08,0.0006175494644290931
17,3202,DIEGO DE ALMAGRO,0.0,17233.708067799253,7511117.912507743,0.991568080905863,0.00032472870768062323,9.694789685276914e-09,8.297072339825551e-08,0.0006175494644290922
18,3301,VALLENAR,0.0,34377.020876866314,5550389.447530603,1.0804312270592957,0.0003356212501353348,2.9904751146175876e-08,6.71219357501033e-08,0.0006175494644290969
19,3302,ALTO DEL CARMEN,0.0,2599.2842258780693,3913678.9152468573,0.6545358280132983,0.0003342128933441866,9.035807489576858e-09,4.562537063454024e-09,0.0006175494644290941
20,3304,HUASCO,0.0,8459.761886695345,5280735.775700897,0.8298606928640887,0.00033383723692218827,1.0317181118593884e-08,4.356763617308358e-08,0.0006175494644290919
21,4101,LA SERENA,0.0,356341.138970566,7133480.469650161,1.5598753205399098,0.0003425247539003394,1.1422842762758011e-07,8.167134117181932e-07,0.0006175494644290882
22,4102,COQUIMBO,0.0,222930.1544734771,4718191.539797725,1.4518851444779277,0.0003430936016150555,1.1890112296089628e-07,4.6655436834594855e-07,0.000617549464429088
23,4103,ANDACOLLO,0.0,7495.776997572365,4382207.4089428345,0.8140115056344384,0.0003426126010639776,1.0947705145153563e-08,2.445320059254785e-08,0.0006175494644290932
24,4104,LA HIGUERA,0.0,2670.057234501154,3424576.7166893887,0.7126035229868426,0.0003403913255849358,8.744503074564064e-09,1.4123158864762082e-08,0.0006175494644290913
25,4106,VICUNA,0.0,13630.09833916579,4039031.2816285794,0.9047734561285985,0.00034019849658452626,1.941079247345183e-08,2.5671785868980796e-08,0.0006175494644290961
26,4201,ILLAPEL,0.0,16382.401307429469,4524416.080550961,0.9347917216700099,0.0003490043744700757,2.1294164909596973e-08,2.7896631441203302e-08,0.0006175494644290975
27,4202,CANELA,0.0,4981.404350392024,2967803.1170086325,0.7298821339473486,0.0003487750933837551,1.1220795344522112e-08,1.3231573767951541e-08,0.000617549464429094
