,comuna1,comuna,delta2,L,w,PI,f,ip,welfare,PI_Wr
0,1101,IQUIQUE,0.625,200967.02219625597,5982889.744455761,1.36910838938597,7.833453540290042e-08,6.775274490462007e-07,0.0006664656823932471,0.00029125396049946154
1,1107,ALTO HOSPICIO,0.625,124900.05023329111,4861330.959087085,0.9911223193728679,3.1407284403372456e-07,5.686175735189505e-08,0.0006664656823932449,0.0002907458831879383
2,1401,POZO ALMONTE,0.625,14366.35747301809,5766425.000223166,0.7485798620051312,4.3103282534527615e-08,5.658515394993158e-08,0.0006664656823932465,0.00029072613058663736
3,1402,CAMINA,0.625,1277.472721171957,3294445.0727468613,0.4299869109574706,3.196411649926328e-08,2.669691962262009e-10,0.000666465682393246,0.0002852504259479861
4,1404,HUARA,0.625,2967.1632487872057,3724167.2579941317,0.564519865664019,3.40332538383605e-08,7.051290666372247e-09,0.0006664656823932463,0.0002892086363021393
5,1405,PICA,0.625,6652.433411030227,5463236.892878172,0.7842380307101049,3.244525294390285e-08,5.7942516883852824e-08,0.0006664656823932466,0.0002908257149195949
6,2101,ANTOFAGASTA,0.625,389948.2231160157,7926577.37230675,1.7474728305895642,1.6863552920338377e-07,1.4898647247071656e-06,0.0006664656823932471,0.0003061817664803044
7,2103,SIERRA GORDA,0.625,3206.156721443741,5594151.755156769,0.8515660630656048,3.0249663648469735e-08,8.678780384672612e-08,0.0006664656823932467,0.0003040747175565149
8,2104,TALTAL,0.625,13302.269833698072,5551244.753189065,0.8946752983977326,4.574440739440145e-08,2.1694859528850058e-08,0.0006664656823932461,0.0003152429208057357
9,2201,CALAMA,0.625,182019.43102567582,7278256.596382787,1.3226796177531377,1.3522577959080547e-07,3.229727346803538e-07,0.0006664656823932603,0.00029864367295237175
10,2203,SAN PEDRO DE ATACAMA,0.625,7842.986404686531,5498145.789570748,0.7960885002755406,3.603872799766938e-08,3.150988079859614e-08,0.0006664656823932467,0.0002960054756776964
11,2301,TOCOPILLA,0.625,28007.909190704075,5553252.65556511,0.8714500052961466,8.369118305727168e-08,3.361611382185407e-08,0.0006664656823932467,0.00029919988785755266
12,2302,MARIA ELENA,0.625,4841.777993911051,6229545.572310159,0.873677094885366,2.8976495230137346e-08,4.9014942929278504e-08,0.0006664656823932463,0.0002993314754224352
