,comuna1,comuna,Exento,L,w,PI,PI_Wr,f,ip,welfare
0,1101,IQUIQUE,0.0,209639.181776648,5879092.247808027,1.3685253939544146,0.0002888770523563113,1.0763228650871466e-07,8.053587921328755e-07,0.0007279545750060889
1,1107,ALTO HOSPICIO,0.0,120849.51244060048,4781744.980151079,0.9906918007686609,0.00028837024199805927,4.350174145237536e-07,7.671153238605462e-08,0.00084622898966235
2,1401,POZO ALMONTE,0.0,29920.382405501565,6063190.170389489,0.7482543481502528,0.00028835049359197533,7.69620915673475e-08,5.8602281250758616e-08,0.00046027786745872235
3,1402,CAMINA,0.0,4232.33908138574,3697096.4011435807,0.42979519966578134,0.00028291589615611385,5.248286824450578e-08,3.3738711462795006e-10,0.0003525804560696395
4,1404,HUARA,0.0,13339.022422930571,4228358.36343806,0.5642666435395649,0.00028684080512273217,7.598556607081063e-08,7.314581862864008e-09,0.00032390261993349076
5,1405,PICA,0.0,7609.055204018006,5542953.519844061,0.7838967785750016,0.0002884491643045069,4.458004049867089e-08,5.943708296208842e-08,0.0006638426906362919
6,2101,ANTOFAGASTA,0.0,397726.0448971879,7788561.805447635,1.7468427000620586,0.00030370615646638,2.3170658383831141e-07,1.7236747439409152e-06,0.0007299326792142702
7,2103,SIERRA GORDA,0.0,22186.693781761576,7545088.776728015,0.8512379746666312,0.0003016074544159363,4.156328301251142e-08,8.706763982967087e-08,0.00016494802520154926
8,2104,TALTAL,0.0,50576.92644485567,5993468.940962607,0.894414760357379,0.000312719373581606,1.719021867811286e-07,2.3588261101708513e-08,0.00046672289582578745
9,2201,CALAMA,0.0,321857.4888990328,7429580.508729995,1.3221438253469802,0.0002962136293037821,5.574047185277551e-07,4.2253252873790707e-07,0.0006993487229348075
10,2203,SAN PEDRO DE ATACAMA,0.0,118426.37490437482,6663477.425176287,0.7957816386509083,0.00029360362291970163,3.4580254494000255e-07,3.243540080037477e-08,0.00024357443737219796
11,2301,TOCOPILLA,0.0,61446.50100438663,5771300.05503302,0.8710972992215366,0.0002967654382911461,2.1485240224798449e-07,3.868599883177121e-08,0.0005946558735106707
12,2302,MARIA ELENA,0.0,31934.791559514466,7455348.906880111,0.8733191690476119,0.0002968942421426122,7.402761918705037e-08,4.9061558418351364e-08,0.00020807216053355526
13,3101,COPIAPO,0.0,157274.30898459512,6751401.395690859,1.3506809450590425,0.00032363546507685985,2.48403711075401e-07,3.552801700338482e-07,0.0008266080960783009
14,3102,CALDERA,0.0,23536.295615642503,4972154.462147912,0.96895252860491,0.00032142322487954293,8.693904168579566e-08,4.513663298145474e-08,0.0007048930683191114
15,3103,TIERRA AMARILLA,0.0,17921.715038449434,4844869.5502610225,0.8693210585308034,0.00032381948146750463,5.852866785202752e-08,9.636927069896167e-08,0.0007223495661258506
16,3201,CHANARAL,0.0,20920.39005594789,5076070.321755655,0.8335727304939944,0.00031784071993452,9.040878101890638e-08,2.761731295788107e-08,0.0006551781832515885
17,3202,DIEGO DE ALMAGRO,0.0,22631.16497797883,7412775.124784725,0.9913468993288592,0.0003181740022802077,6.290042573979469e-08,4.7992869996889864e-08,0.0005641930379319792
18,3301,VALLENAR,0.0,50782.032454896944,5457670.118539877,1.0803031713200453,0.0003288867999477196,1.774638048999825e-07,6.842820979692579e-08,0.0008360180176683499
19,3302,ALTO DEL CARMEN,0.0,25508.043936622587,4487200.2918412285,0.6544702960423184,0.00032751373637254435,1.1304877527292865e-07,3.631646055714827e-09,0.00042061685995431025
20,3304,HUASCO,0.0,14586.405642051499,5388645.622550519,0.829762585282048,0.0003271386990093257,5.7083016399382024e-08,3.856847402019977e-08,0.0005935771318912056
21,4101,LA SERENA,0.0,236664.7768885201,6596125.048225852,1.5597933726809863,0.0003356776285669326,2.0631187810702678e-07,6.197631672248253e-07,0.0007854260849739752
22,4102,COQUIMBO,0.0,208189.98927777976,4470795.541080666,1.4518273664395458,0.00033624010347831985,4.717336753716578e-07,4.049640224085568e-07,0.0008471153812998003
23,4103,ANDACOLLO,0.0,13016.902550388917,4444619.155646521,0.8139882687882471,0.00033577311872226746,6.981109234240662e-08,2.2958342727867825e-08,0.0007611622533515784
24,4104,LA HIGUERA,0.0,8118.9734703493305,3855996.3245806224,0.7125497561830256,0.0003335779272028623,5.5345859450843467e-08,1.400363653517206e-08,0.0005555945248069306
25,4106,VICUNA,0.0,26594.448987494998,4089579.1744591077,0.9047412055893298,0.0003334044445663934,1.3229691219109403e-07,2.4520982496617157e-08,0.000831897308241599
26,4201,ILLAPEL,0.0,35459.69839654176,4598393.289790234,0.9348434495302435,0.0003420707743610202,1.564818879563231e-07,2.7706815824962645e-08,0.0008022888730275712
27,4202,CANELA,0.0,27497.688442696166,3320005.0285908054,0.7299062325305733,0.0003418371460484977,1.2102630914937839e-07,1.2647267570783786e-08,0.0004970018804199804
28,4203,LOS VILOS,0.0,18867.012499735156,3993534.8059078744,1.012369282439885,0.00034433198609858844,9.3427930968059e-08,3.1045065631429216e-08,0.0008477897959596909
29,4204,SALAMANCA,0.0,25346.042472530586,5057383.289891319,0.9539876712908065,0.00034100461518310953,8.663234823207768e-08,5.6205443672383196e-08,0.0008330272724841502
30,4301,OVALLE,0.0,99469.36296220063,4850654.974590267,1.1708410509301335,0.00033814932620436044,3.3307336374907817e-07,1.2452043862453238e-07,0.0008931205067537568
31,4302,COMBARBALA,0.0,23042.944897679532,3673967.2490019086,0.7385642222250812,0.0003398516017966556,1.3101668067945973e-07,5.284489346910169e-09,0.0006815809633576933
32,4303,MONTE PATRIA,0.0,41617.837339521786,3876188.12287618,0.8092712417580556,0.0003370683853189599,2.1123109789869484e-07,1.1546166823862003e-08,0.0007650363805532184
33,4304,PUNITAQUI,0.0,16366.030631254105,3941489.2205750896,0.7063811850210601,0.00033758961246974496,9.773423072416435e-08,7.776591296106255e-09,0.0006682318926177814
34,4305,RIO HURTADO,0.0,7787.736779091982,3486123.81442059,0.6133363799795841,0.00033677311609846066,6.49084579544223e-08,4.42093297962598e-09,0.0006319065622621388
35,5101,VALPARAISO,0.0,323099.37865082646,4970560.271420825,1.6065732335889553,0.00034759575854318434,4.4064740110020353e-07,6.806175796814912e-07,0.0007676600424064425
36,5102,CASABLANCA,0.0,28126.58421930837,4325962.527829251,1.124978337170009,0.0003487600478865313,6.156035988020576e-08,1.4231872590614926e-07,0.0007698821422566372
37,5103,CONCON,0.0,53427.89072938456,7061407.519185912,1.4299032966394838,0.00034731600373580606,4.4995127861371466e-08,2.5668631669859014e-07,0.0007489582678083768
38,5105,PUCHUNCAVI,0.0,22250.69896907936,3661850.416915678,1.1860810490717457,0.0003469868576354635,5.7427639071845206e-08,8.692903878481692e-08,0.0006853249560974431
39,5107,QUINTERO,0.0,25417.886528783176,4877068.903902623,1.1449313998867823,0.00035111522601692896,7.836699656275274e-08,7.728481988604671e-08,0.0008696350601966252
40,5109,VINA DEL MAR,0.0,340755.26301072113,7328040.5452073,1.8151668059788693,0.00034748113937598543,1.9529565316537833e-07,1.3991921731465822e-06,0.0007596757142834329
41,5301,LOS ANDES,0.0,57303.93571854623,5801468.798816886,1.2457018932649262,0.000348416007324354,1.42300863740799e-07,1.2805620352178004e-07,0.0008599574090032086
42,5302,CALLE LARGA,0.0,15274.490588343539,3921306.147455147,0.8715069135507818,0.00034852589442972064,8.066412758240581e-08,1.927762505416104e-08,0.0008140219525065484
43,5303,RINCONADA,0.0,12234.821017845534,4649017.029324508,0.8945663527222867,0.0003409126739472179,6.935456864895478e-08,1.2511777573018857e-08,0.0007802114669212866
44,5304,SAN ESTEBAN,0.0,19732.16138422742,4118470.968885213,0.9451191434362949,0.00034810430881942686,9.487978742631516e-08,1.9374668072914055e-08,0.0008113877959363637
45,5401,LA LIGUA,0.0,33595.29138495193,4693253.653703586,1.042069307810492,0.0003466129161225439,1.3717496305727974e-07,4.146874056515756e-08,0.0008232750107906772
46,5402,CABILDO,0.0,22261.736612243658,9655753.436692186,0.8677861302756944,0.0003459479371897962,1.1089071503870975e-07,1.7063920873926012e-08,0.000788111827402385
47,5403,PAPUDO,0.0,7360.369963131249,5309638.11320372,1.0651117980380107,0.0003461109984675374,4.4663567877004076e-08,5.2327236188572005e-08,0.0006222670896246706
48,5404,PETORCA,0.0,13513.904152944637,4542654.068469309,0.7502935860865312,0.00034457180894706006,8.167302466422332e-08,8.717902142597609e-09,0.0007193934404820627
49,5501,QUILLOTA,0.0,75570.50889749383,4773382.2345131105,1.234916150004322,0.0003475622614991541,2.5097227958385694e-07,1.2062885812579853e-07,0.0008980743961690941
50,5502,LA CALERA,0.0,50997.903765868476,4392357.154781327,1.1134946031264616,0.0003479247045316594,1.8584308829258022e-07,7.465082585752043e-08,0.0008467437981448069
51,5503,HIJUELAS,0.0,20627.84566164938,4209960.185928932,0.860162305931989,0.00034810027330023455,8.424292492064396e-08,2.324597753105541e-08,0.0007756804456728562
52,5504,LA CRUZ,0.0,19184.256135461714,4340815.680868544,0.9899837691429829,0.0003477169661977736,9.20936115770495e-08,2.5090101565017454e-08,0.0008404620013790442
53,5506,NOGALES,0.0,25716.8246780465,3633492.5540785305,0.9546177023558519,0.0003478203734772486,1.1151380472003771e-07,2.2926015117772e-08,0.0008009446478615783
54,5601,SAN ANTONIO,0.0,83898.58972827227,4079220.2029789356,1.3306276277131404,0.0003498782087971541,1.6537673633096874e-07,2.180564385039076e-07,0.0008503164307786098
55,5602,ALGARROBO,0.0,11699.401157484614,7192099.118071525,1.3378411566156978,0.0003491108512813364,4.2806624802468896e-08,1.5449246561580362e-07,0.0007547191196760775
56,5603,CARTAGENA,0.0,18912.86311853222,3861586.833455921,1.0032861795265493,0.00034972558035597097,1.0223636661158973e-07,2.3603045292537162e-08,0.0008580401711888057
57,5604,EL QUISCO,0.0,12384.60366391342,3692469.5481690364,1.1239104980577963,0.00034913925106570717,7.839170235830848e-08,4.409463233454251e-08,0.0009063852820071494
58,5605,EL TABO,0.0,16217.47809750596,5455576.723703962,1.0432515156444002,0.0003493460008419566,9.140049539336728e-08,2.8408114898924358e-08,0.0006316716844933964
59,5606,SANTO DOMINGO,0.0,8798.430949730731,6173138.626714679,1.233160368293645,0.00034994985752067974,3.952240320788216e-08,2.978709429943503e-07,0.0007425565369096514
60,5701,SAN FELIPE,0.0,53935.6492659236,5276121.265037047,1.1944235463560586,0.0003481741254829124,1.8984466956373424e-07,1.0547354184380826e-07,0.0009353993510702554
61,5702,CATEMU,0.0,16084.024355066942,3555644.532045158,0.8645126003279496,0.0003480380178169564,9.254029203981659e-08,1.1472922454239617e-08,0.0007772246074606378
62,5703,LLAY-LLAY,0.0,24489.476389579013,4199637.569432889,0.9177399789497289,0.0003485346303905642,1.1626693186167757e-07,2.0551154509667876e-08,0.0008367299274059952
63,5704,PANQUEHUE,0.0,8676.358929372791,4745444.836776691,0.8448965314691878,0.0003480402518775527,5.663124574915516e-08,1.1451021655198798e-08,0.0007482558399328042
64,5705,PUTAENDO,0.0,18485.137612137627,3338836.0959529597,0.8346452659857275,0.00034751657119227336,1.0443830978217896e-07,7.846350332737564e-09,0.0007914347965045168
65,5706,SANTA MARIA,0.0,16744.021473399098,4029450.5874041463,0.8299410958558574,0.00034790570001307216,9.861952556382461e-08,1.031446696470934e-08,0.0008138157210675718
66,5801,QUILPUE,0.0,186015.1467191284,6343516.537723684,1.3916175270045381,0.0003479038793280665,4.797514109497833e-07,2.2594616457593147e-07,0.0008002673822077077
67,5802,LIMACHE,0.0,43689.99522949705,4252100.101639146,1.1114981317581893,0.0003480757426772546,1.5290590693948332e-07,4.9887568252487265e-08,0.0008396285154320428
68,5803,OLMUE,0.0,17236.140781118585,4560278.067343426,1.046963039777378,0.00034820898128723487,6.409230777955399e-08,3.074284234320579e-08,0.0007834443229880389
69,5804,VILLA ALEMANA,0.0,147968.93100631234,5787800.43724105,1.2845253769586849,0.00034792932288134327,4.878560516024977e-07,1.1478909663513458e-07,0.000826422221067303
70,6101,RANCAGUA,0.0,185183.48654955186,5137402.060762123,1.5538747375555173,0.0003521418989914956,3.8433379709652857e-07,5.219293774607228e-07,0.0009074882075073058
71,6102,CODEGUA,0.0,16142.78939903461,4650508.725204662,0.8585313338338871,0.0003513228092858668,8.052283821842009e-08,1.4766600895698306e-08,0.0007858332673275165
72,6103,COINCO,0.0,8715.335764408079,3587536.575377998,0.7149887929310828,0.00035125810254345855,6.257299020521253e-08,6.436383659421305e-09,0.0007459364130788905
73,6104,COLTAUCO,0.0,22168.9542659341,4526155.178209536,0.855115713524407,0.0003512772864336999,1.2113215119236983e-07,8.271919349282798e-09,0.0007979607624189904
74,6105,DONIHUE,0.0,21618.34499703189,5204209.041380611,0.9284049211636938,0.00035122521011018195,8.83217375351181e-08,3.0306760354416576e-08,0.0007989542788950888
75,6106,GRANEROS,0.0,31022.266841333792,4495699.755203464,1.0376151166742722,0.0003515439262209625,1.3034005173531546e-07,3.732081514717948e-08,0.0008646225878246705
76,6107,LAS CABRAS,0.0,22706.668922011057,3702726.4322413066,1.3148786626828326,0.00035125252461353277,6.161129388950989e-08,1.7877528199770438e-07,0.0007586670413949431
77,6108,MACHALI,0.0,61146.8391066556,7827314.86017547,1.3280092165334076,0.00035127594125419813,6.456184479010824e-08,1.5274637185520994e-07,0.000748478093549708
78,6109,MALLOA,0.0,19110.14669352273,4281192.187488795,0.8448586583393696,0.00035175652988237804,9.517180153908874e-08,1.1314767283910901e-08,0.0007113986933949861
79,6110,SAN FRANCISCO DE MOSTAZAL,0.0,27478.418480591397,4533693.981992112,1.0430447700217491,0.00035143029385364136,7.543967621548006e-08,5.891233466494006e-08,0.0007910496267154989
80,6111,OLIVAR,0.0,17933.716299158226,4638634.578821804,0.8720412177279773,0.00035161046048142483,7.824500378344758e-08,1.9287170575278543e-08,0.0007669140438492616
81,6112,PEUMO,0.0,17899.354153864784,3988689.0104810796,0.8390218195627012,0.0003513325853222996,8.83049774626949e-08,1.6973999263605504e-08,0.0007880542480535538
82,6113,PICHIDEGUA,0.0,23285.28967422098,3688199.9312212327,0.8428722639212781,0.0003511141099657225,1.0856171372345209e-07,1.6587979431512074e-08,0.000781200701808649
83,6114,QUINTA DE TILCOCO,0.0,14969.641583459555,5056682.646481565,0.7987941637576489,0.00034677858429279634,8.321328490052841e-08,1.2431526403959048e-08,0.0007815415372244385
84,6115,RENGO,0.0,61898.12013531896,4205790.787199277,1.1206099396942075,0.0003516860888868933,2.2203656337576372e-07,6.891497777464666e-08,0.0008246115800916711
85,6116,REQUINOA,0.0,38809.30436976391,4703148.325513114,1.0756664960467872,0.00035236402917447846,1.1314165684002872e-07,5.378662972257414e-08,0.0007762464322266945
86,6117,SAN VICENTE,0.0,50751.55654345484,5027800.154519514,1.1158209706347906,0.0003516044276110293,1.6170513392781478e-07,6.607733228684058e-08,0.00079562487275855
87,6201,PICHILEMU,0.0,14945.864508093719,5283835.545690274,1.0351013292915832,0.00034942928435476923,6.801914492874647e-08,2.7378395761972366e-08,0.0007993364764347535
88,6202,LA ESTRELLA,0.0,3486.629969611654,3941417.9641558314,0.7747696993818679,0.00035073395657763627,4.009471525697524e-08,2.2234639977287134e-08,0.0007486706910918409
89,6203,LITUECHE,0.0,7425.792993475838,4080631.648075829,0.8226706499194486,0.0003505197459342825,5.0321241699458075e-08,1.1124387428078072e-08,0.0007503476528458882
90,6204,MARCHIGUE,0.0,8911.975449790001,4047867.254519973,0.769208320270352,0.0003509594918246797,5.209553699613498e-08,1.4553612737561805e-08,0.000748692135848242
91,6205,NAVIDAD,0.0,7454.1450644601,3742432.5372196375,0.7394305680466862,0.0003496970752731339,5.907315394619724e-08,4.283983555037082e-09,0.0007310320685109275
92,6206,PAREDONES,0.0,7732.702530356356,3747801.732864436,0.7215091487728529,0.0003493087178106044,6.17041498255012e-08,3.611771916524622e-09,0.0007407524530232668
93,6301,SAN FERNANDO,0.0,61585.00820334397,4240106.683605034,1.2884414139873321,0.0003519939822824531,1.4469829942929235e-07,1.5804563726123432e-07,0.0008662413470259636
94,6302,CHEPICA,0.0,18396.662828751265,3749934.8507342367,0.8305167192452192,0.00035176140410625656,1.042497883559148e-07,7.462866707092823e-09,0.0007869007367416153
95,6303,CHIMBARONGO,0.0,54624.13329498611,3683762.989154288,0.969767890950585,0.00035205260771900717,2.04291862003661e-07,3.09516557795986e-08,0.0007194992588437174
96,6304,LOLOL,0.0,8687.290186267246,3691135.269578441,0.748919366272261,0.000350334186580697,5.6027943520245825e-08,1.1682341550585421e-08,0.0007277144470611457
97,6305,NANCAGUA,0.0,16155.939638484391,4152064.663549981,0.8621100938560229,0.0003517140435618287,6.316755620306542e-08,6.44966339300882e-08,0.0007869415941123
98,6306,PALMILLA,0.0,15808.119924806142,3489643.306289592,0.8271754749237854,0.00035153466984747287,6.635831777220418e-08,2.611470321009004e-08,0.0007495368245449571
99,6307,PERALILLO,0.0,13332.178314626439,4331010.403364381,0.8183880902100698,0.00035115046201516966,6.987420030453805e-08,1.5818164334455806e-08,0.0007684744280801033
100,6308,PLACILLA,0.0,11342.97357791948,4076368.0054421527,0.7957529848851667,0.0003515023901203593,7.036998599109442e-08,8.704155493388158e-09,0.0007438387095823061
101,6309,PUMANQUE,0.0,4279.146268952121,5632848.800463352,0.6362615917082584,0.00035021988066549103,4.579893934420885e-08,6.224948582497016e-09,0.0007149400754206338
102,6310,SANTA CRUZ,0.0,36811.96725741376,5093611.120406031,1.1369097137482538,0.0003515858885209925,1.103134132964913e-07,6.253872062463676e-08,0.0008192260574536324
103,7101,TALCA,0.0,173460.02103330713,5658315.640743933,1.5365740982731175,0.0003519385936112292,3.254263102377937e-07,4.3733352938807334e-07,0.0008937077465006189
104,7102,CONSTITUCION,0.0,47523.29871302567,5238749.496875343,1.124583198431086,0.0003491847576062314,1.4509402431270368e-07,7.77694154083334e-08,0.0008342169216382382
105,7103,CUREPTO,0.0,14663.553923950356,3588125.8150778906,0.7489621698575253,0.0003500440942932144,8.385648304669049e-08,8.053613543942299e-09,0.0007058175592388038
106,7104,EMPEDRADO,0.0,5355.467334025957,3758356.8812241005,0.6814723018990769,0.00034921000830294256,5.561497228430047e-08,2.7138200219783783e-09,0.0007435029383619987
107,7105,MAULE,0.0,50209.469692955325,3259541.05087273,0.9827210751070936,0.00035186148612199923,2.2759703872144592e-07,3.149239995796176e-08,0.0008864467764683053
108,7107,PENCAHUE,0.0,10851.975749721229,3962973.0749808378,0.7521996665902795,0.0003513690472951161,6.386696486927292e-08,9.93891370012247e-09,0.0007395231971019873
109,7108,RIO CLARO,0.0,18024.21269657972,3590970.97494085,0.7436384233131711,0.0003514787130579675,8.802532766871363e-08,1.3418909537097244e-08,0.0007188498269539166
110,7109,SAN CLEMENTE,0.0,44674.79857854106,3022379.744173934,0.9650583462912168,0.0003512106965994818,1.8304387618161022e-07,3.638882998315553e-08,0.0008077450425657622
111,7110,SAN RAFAEL,0.0,11455.592454396257,4353188.316905104,0.744635785543279,0.000352080162254128,7.029420681971967e-08,9.435274721332071e-09,0.0007712000327436226
112,7201,CAUQUENES,0.0,35557.05862987308,4321871.111138285,1.0687373495816512,0.00035051081071412415,1.8626569520118596e-07,3.2018243184964246e-08,0.0008792850720228289
113,7202,CHANCO,0.0,11139.804993835562,3692476.6700050873,0.7593597793873302,0.00034897491436325226,7.496459389993288e-08,4.751225364163005e-09,0.0007395525211892965
114,7203,PELLUHUE,0.0,8576.09690265243,3499739.693251774,0.9048457379875885,0.0003487785398894427,5.998735843977758e-08,1.2197679379123349e-08,0.000772147596760579
115,7301,CURICO,0.0,102404.02447492053,4932064.091382962,1.372600586075828,0.0003519417268531791,2.61843361534269e-07,2.6486312789876386e-07,0.0009366740293241609
116,7302,HUALANE,0.0,11237.137535049562,4978481.163157992,0.8058009542762976,0.00035079355223289403,7.719909935468548e-08,8.662284056525476e-09,0.0007849512042679268
117,7303,LICANTEN,0.0,9070.828895636323,4694588.480084762,0.8765422930928902,0.0003500569729485288,5.952650489413292e-08,1.2869614076409748e-08,0.0007185928950886407
118,7304,MOLINA,0.0,36509.22373032294,4277983.571331773,1.0680436533273125,0.00035188514746795345,1.5229834593675823e-07,5.7361632702627676e-08,0.0008760878352914457
119,7305,RAUCO,0.0,10891.812952162361,3526830.8615984055,0.7825160365840059,0.0003495915475391134,6.967936577452178e-08,1.3474737037670676e-08,0.0007930479090889356
120,7306,ROMERAL,0.0,17000.898836783763,4042573.902257976,0.9427174512197435,0.0003518611050912596,6.21083734020113e-08,3.5593830549739775e-08,0.0007511936127242352
121,7307,SAGRADA FAMILIA,0.0,21236.910354387375,4087688.90455979,0.8826384278007199,0.0003515904557656755,8.153084540140645e-08,3.569927030234517e-08,0.000781154795097843
122,7308,TENO,0.0,32063.333515875933,4284190.2689469,0.9771017124209457,0.00035206208181114254,1.242388699424196e-07,3.0639950347623446e-08,0.0007863179980597188
