comuna1,comuna,idregion,year,lon,lat,w_mean,w_low,w_up,L,L_workers,IP,IPP,impterritorial,patentescom,percirculacion,patentesmineras,pobres,pobres_pais,h_all,r_all,tax_12,tax_14,tax_16,tax_18,tax_20,tax_22,tax_24,tax_26,tax_28,tax_30,tax_32,h_e_12,h_e_14,h_e_16,h_e_18,h_e_20,h_e_22,h_e_24,h_e_26,h_e_28,h_e_30,h_e_32,h_nex_12,h_nex_14,h_nex_16,h_nex_18,h_nex_20,h_nex_22,h_nex_24,h_nex_26,h_nex_28,h_nex_30,h_nex_32,pob_porcentaje,v_dividendo,v_arriendo
1101,IQUIQUE,1,2017,-70.04815826359133,-20.92555731810985,498579.7,481767.8,515391.7,200897,82352,35913304,32655889,8282787,10076714,1331532,176938,10707.811,2086396.9,79301,3165095569889,2248604647424,2172068167680,2103157850112,2040592728064,1983435898880,1920423034880,1880799182848,1834369024000,1791410700288,1751871520768,1716658503680,12204,14692,19001,21861,24320,26395,27686,29473,30943,33228,35026,67097,64609,60300,57440,54981,52906,51615,49828,48358,46073,44275,5.33,288198.159222314,268616.3034796653
1107,ALTO HOSPICIO,1,2017,-70.01262972392198,-20.18973943812032,404729.7,384267.6,425191.8,124872,49740,10774548,3901264,553783,875394,472104,32005,10626.607,2086396.9,26206,333993706981,100724236288,99888062464,99398230016,99024953344,98720587776,98438938624,98281480192,98101772288,97939783680,97791950848,97661640704,24015,24459,24536,24582,24614,24645,24654,24665,24671,24681,24685,2191,1747,1670,1624,1592,1561,1552,1541,1535,1525,1521,8.51,180500.3263145783,232189.6928492151
1401,POZO ALMONTE,1,2017,-69.50796251851361,-20.7722063353764,480543.8,381090,579997.4,14361,6627,4432177,2643983,91433,1327895,190216,0,1483.4913,2086396.9,5211,46940063113,24699863040,24524716032,24413575168,24334995456,24280465408,24234452992,24210794496,24186476544,24168996864,24154898432,24144898048,4141,4182,4204,4218,4229,4235,4237,4242,4243,4246,4246,1070,1029,1007,993,982,976,974,969,968,965,965,10.33,150000,129752.3571248424
1402,CAMIA,1,2017,-69.50113638162469,-19.37001412543185,274555.3,206560.1,342550.5,1277,452,1640745,100516,431,3815,5370,85629,445.28989,2086396.9,556,1089521963,67121888,63162112,61162112,59162112,57162112,54767744,53162112,51162112,49162112,47162112,45162112,536,537,537,537,537,537,537,537,537,537,537,20,19,19,19,19,19,19,19,19,19,19,34.87,200000,125000
1404,HUARA,1,2017,-69.66338779468124,-19.60166065497062,310359.4,237063.1,383655.7,2966,1431,2410067,1077755,7698,173875,11445,634370,653.40979,2086396.9,1771,6731460814,2773253632,2763059712,2759059712,2755059712,2753149952,2753149952,2753149952,2753149952,2753149952,2753149952,2753149952,1649,1654,1654,1654,1656,1656,1656,1656,1656,1656,1656,122,117,117,117,115,115,115,115,115,115,115,22.03,,88144.06779661016
1405,PICA,1,2017,-68.91304728668993,-20.48081744460272,455278,365717.3,544838.7,6650,7769,3945106,2764706,209163,1348095,80462,1036628,847.21002,2086396.9,2167,64860348853,46496681984,46105305088,45774422016,45530734592,45399379968,45286105088,45222670336,45159325696,45122174976,45090934784,45062934528,1362,1409,1430,1509,1531,1545,1550,1566,1569,1572,1572,805,758,737,658,636,622,617,601,598,595,595,12.74,300944.7415329769,176851.2602058928
2101,ANTOFAGASTA,2,2017,-69.40529428906851,-24.27821556438926,660554.5,570970.1,750139,389812,160354,50645289,43144237,11123950,13559080,3920810,2350553,19958.375,2086396.9,139082,12922925978167,6814164320256,6687798329344,6571429986304,6465365999616,6369055866880,6264708923392,6200920899584,6127471296512,6060016926720,5997728890880,5939861651456,35877,41756,47477,51993,56603,61367,64321,67257,70195,72688,74778,103205,97326,91605,87089,82479,77715,74761,71825,68887,66394,64304,5.12,284288.7657287846,344366.5352518451
2103,SIERRA GORDA,2,2017,-69.30887948302379,-23.26032817152379,466185.3,405818.5,526552.1,3205,1090,5965392,4684656,278948,1951438,289485,1750648,266.33551,2086396.9,939,88343075254,59323170816,59303555072,59288977408,59276996608,59267186688,59257610240,59251187712,59243188224,59235184640,59227799552,59221798912,867,870,873,874,875,875,875,875,875,876,876,72,69,66,65,64,64,64,64,64,63,63,8.31,,244051.5653775322
2104,TALTAL,2,2017,-69.86195944424105,-25.31020769529993,462609.7,408480,516739.4,13296,3497,3988162,2543551,157577,477925,113633,1542194,566.40961,2086396.9,4069,100524426622,11595914240,11398025216,11255676928,11155775488,11083055104,11018647552,10984664064,10947968000,10923479040,10900899840,10883641344,3695,3731,3753,3772,3783,3793,3794,3800,3803,3806,3807,374,338,316,297,286,276,275,269,266,263,262,4.26,175000,244457.4561403509
2201,CALAMA,2,2017,-68.62673100216796,-22.16948944762693,606516.1,575701,637331.2,181897,63927,21387833,16674365,3645474,3919060,1799123,1610587,9040.2813,2086396.9,50686,2139915551673,1204391116800,1148502278144,1096466628608,1050323910656,1008182034432,962852290560,936088764416,906851975168,881307156480,858803863552,838554943488,15215,17181,19371,22233,23821,26404,28383,30500,32183,33472,34477,35471,33505,31315,28453,26865,24282,22303,20186,18503,17214,16209,4.97,279272.2686653214,287993.7187657604
2203,SAN PEDRO DE ATACAMA,2,2017,-67.90882802062092,-23.4066811261846,458187.5,406163.8,510211.2,7840,5104,5247240,2226581,95750,684453,149913,866188,348.88,2086396.9,2648,64800724672,21174611968,21066924032,20983003136,20909881344,20848683008,20791508992,20756185088,20715364352,20685015040,20662935552,20644814848,2401,2416,2422,2427,2435,2439,2439,2444,2447,2451,2452,247,232,226,221,213,209,209,204,201,197,196,4.45,238965.5172413793,196133.7513061651
2301,TOCOPILLA,2,2017,-70.02137761323985,-21.99824907502039,462778.2,404076.4,521480,27996,7599,4181657,2004263,223120,647604,125579,385048,3113.1553,2086396.9,9272,114376173993,50967601152,50043265024,49506836480,49130471424,48822329344,48511164416,48321908736,48114991104,47922499584,47747481600,47585423360,8153,8370,8504,8554,8582,8599,8610,8623,8629,8638,8646,1119,902,768,718,690,673,662,649,643,634,626,11.12,204732.5102880659,164861.1339407745
2302,MARA ELENA,2,2017,-69.46806529330976,-22.09530701834843,519138,470194.4,568081.6,4840,1000,3409761,2491377,144013,1105056,124031,940115,413.82001,2086396.9,417,116129538709,38767525888,38761525248,38755524608,38754914304,38754914304,38754914304,38754914304,38754914304,38754914304,38754914304,38754914304,377,377,377,380,380,380,380,380,380,380,380,40,40,40,37,37,37,37,37,37,37,37,8.550000000000001,,96594.31279620853
