comuna1,comuna,idregion,year,lon,lat,w_mean,L,L_workers,IP,IPP,impterritorial,patentescom,percirculacion,patentesmineras,pobres,pobres_pais,h_all,r_all,tax_00,tax_02,tax_04,tax_06,tax_08,tax_10,tax_12,tax_14,tax_16,tax_18,tax_20,tax_22,tax_24,tax_26,tax_28,tax_30,tax_32,tax_33,h_e_00,h_e_02,h_e_04,h_e_06,h_e_08,h_e_10,h_e_12,h_e_14,h_e_16,h_e_18,h_e_20,h_e_22,h_e_24,h_e_26,h_e_28,h_e_30,h_e_32,h_e_33,h_nex_00,h_nex_02,h_nex_04,h_nex_06,h_nex_08,h_nex_10,h_nex_12,h_nex_14,h_nex_16,h_nex_18,h_nex_20,h_nex_22,h_nex_24,h_nex_26,h_nex_28,h_nex_30,h_nex_32,h_nex_33,cod_sii,comuna_sii,sem,_ID,pobreza,v_arriendo
1101,IQUIQUE,1,2017,-70.04815826359133,-20.92555731810985,498579.72,200897,82352,35913304,32655889,8282787,10076714,1331532,176938,8799.2891,1591381.6,79301,3165095569889,2806210101248,2705791385600,2606262386688,2508131139584,2416364748800,2330056720384,2248604647424,2172068167680,2103157850112,2040592728064,1983435898880,1920423034880,1880799182848,1834369024000,1791410700288,1751871520768,1716658503680,1700474126336,1300,1710,2184,3601,7390,9935,12204,14692,19001,21861,24320,26395,27686,29473,30943,33228,35026,36039,78001,77591,77117,75700,71911,69366,67097,64609,60300,57440,54981,52906,51615,49828,48358,46073,44275,43262,1201,IQUIQUE,1,6,4.38,268616.3034796653
1107,ALTO HOSPICIO,1,2017,-70.01262972392198,-20.18973943812032,405122.38,124872,49740,10774548,3901264,553783,875394,472104,32005,9690.0674,1591381.6,26206,333993706981,235984814080,187367473152,144062726144,121143386112,109623205888,103820902400,100724236288,99888062464,99398230016,99024953344,98720587776,98438938624,98281480192,98101772288,97939783680,97791950848,97661640704,97599512576,432,442,7080,17059,20850,22615,24015,24459,24536,24582,24614,24645,24654,24665,24671,24681,24685,24687,25774,25764,19126,9147,5356,3591,2191,1747,1670,1624,1592,1561,1552,1541,1535,1525,1521,1519,1211,ALTO HOSPICIO,1,5,7.76,232189.6928492151
1401,POZO ALMONTE,1,2017,-69.50796251851361,-20.7722063353764,480543.75,14361,6627,4432177,2643983,91433,1327895,190216,0,1562.4768,1591381.6,5211,46940063113,38211817472,31785345024,28198760448,26424092672,25440606208,24974592000,24699863040,24524716032,24413575168,24334995456,24280465408,24234452992,24210794496,24186476544,24168996864,24154898432,24144898048,24139896832,483,1580,3051,3592,3934,4078,4141,4182,4204,4218,4229,4235,4237,4242,4243,4246,4246,4246,4728,3631,2160,1619,1277,1133,1070,1029,1007,993,982,976,974,969,968,965,965,965,1204,POZO ALMONTE,1,1,10.88,129752.3571248424
1402,CAMINA,1,2017,-69.50113638162469,-19.37001412543185,274555.31,1277,452,1640745,100516,431,3815,5370,85629,337.76651,1591381.6,556,1089521963,542717568,180219232,109582272,84514936,75810752,71121888,67121888,63162112,61162112,59162112,57162112,54767744,53162112,51162112,49162112,47162112,45162112,44162112,126,468,519,531,535,536,536,537,537,537,537,537,537,537,537,537,537,537,430,88,37,25,21,20,20,19,19,19,19,19,19,19,19,19,19,19,1208,CAMINA,1,3,26.45,125000
1404,HUARA,1,2017,-69.66338779468124,-19.60166065497062,310359.38,2966,1431,2410067,1077755,7698,173875,11445,634370,558.20117,1591381.6,1771,6731460814,4577584640,3320727040,2994010880,2875910912,2821200384,2791668224,2773253632,2763059712,2759059712,2755059712,2753149952,2753149952,2753149952,2753149952,2753149952,2753149952,2753149952,2753149952,320,1352,1568,1621,1636,1645,1649,1654,1654,1654,1656,1656,1656,1656,1656,1656,1656,1656,1451,419,203,150,135,126,122,117,117,117,115,115,115,115,115,115,115,115,1206,HUARA,1,4,18.82,88144.06779661016
1405,PICA,1,2017,-68.91304728668993,-20.48081744460272,455278.03,6650,7769,3945106,2764706,209163,1348095,80462,1036628,573.89502,1591381.6,2167,64860348853,55642464256,52764807168,50298400768,48719933440,47705190400,47007252480,46496681984,46105305088,45774422016,45530734592,45399379968,45286105088,45222670336,45159325696,45122174976,45090934784,45062934528,45049311232,122,196,616,962,1168,1293,1362,1409,1430,1509,1531,1545,1550,1566,1569,1572,1572,1573,2045,1971,1551,1205,999,874,805,758,737,658,636,622,617,601,598,595,595,594,1203,PICA,1,7,8.630000000000001,176851.2602058928
2101,ANTOFAGASTA,2,2017,-69.40529428906851,-24.27821556438926,660554.5,389812,160354,50645289,43144237,11123950,13559080,3920810,2350553,19724.486,1591381.6,139082,12922925978167,7884858458112,7685249957888,7486241243136,7292488515584,7110917619712,6953150447616,6814164320256,6687798329344,6571429986304,6465365999616,6369055866880,6264708923392,6200920899584,6127471296512,6060016926720,5997728890880,5939861651456,5912876548096,2758,2821,3783,8218,17407,28709,35877,41756,47477,51993,56603,61367,64321,67257,70195,72688,74778,76302,136324,136261,135299,130864,121675,110373,103205,97326,91605,87089,82479,77715,74761,71825,68887,66394,64304,62780,2201,ANTOFAGASTA,1,9,5.06,344366.5352518451
2103,SIERRA GORDA,2,2017,-69.30887948302379,-23.26032817152379,466185.31,3205,1090,5965392,4684656,278948,1951438,289485,1750648,45.190498,1591381.6,939,88343075254,61196689408,60494143488,59869822976,59553865728,59418693632,59356188672,59323170816,59303555072,59288977408,59276996608,59267186688,59257610240,59251187712,59243188224,59235184640,59227799552,59221798912,59218796544,527,531,686,746,837,855,867,870,873,874,875,875,875,875,875,876,876,876,412,408,253,193,102,84,72,69,66,65,64,64,64,64,64,63,63,63,2206,SIERRA GORDA,1,14,1.41,244051.5653775322
2104,TALTAL,2,2017,-69.86195944424105,-25.31020769529993,462609.69,13296,3497,3988162,2543551,157577,477925,113633,1542194,466.68961,1591381.6,4069,100524426622,24138674176,17983956992,14460467200,13148680192,12372401152,11895815168,11595914240,11398025216,11255676928,11155775488,11083055104,11018647552,10984664064,10947968000,10923479040,10900899840,10883641344,10875641856,496,1146,2950,3314,3510,3630,3695,3731,3753,3772,3783,3793,3794,3800,3803,3806,3807,3807,3573,2923,1119,755,559,439,374,338,316,297,286,276,275,269,266,263,262,262,2202,TALTAL,1,8,3.51,244457.4561403509
2201,CALAMA,2,2017,-68.62673100216796,-22.16948944762693,606516.06,181897,63927,21387833,16674365,3645474,3919060,1799123,1610587,8349.0723,1591381.6,50686,2139915551673,1652736131072,1567692947456,1482938646528,1401761824768,1329816272896,1264881893376,1204391116800,1148502278144,1096466628608,1050323910656,1008182034432,962852290560,936088764416,906851975168,881307156480,858803863552,838554943488,829068148736,1535,1625,1916,5666,10228,12729,15215,17181,19371,22233,23821,26404,28383,30500,32183,33472,34477,34717,49151,49061,48770,45020,40458,37957,35471,33505,31315,28453,26865,24282,22303,20186,18503,17214,16209,15969,2301,CALAMA,1,10,4.59,287993.7187657604
